capture_id,image_path,captured_at,source_topic,ros_stamp,interval_sec,crop_x,crop_y,crop_w,crop_h,width,height,label_status,label_x,label_y,notes
0,images/front_20260621T050934978_000000.jpg,2026-06-21T05:09:34.978,/usb_cam/image_raw/front,1781986174.906078400,1.0,,,,,640,480,unlabeled,,,
1,images/front_20260621T050936550_000001.jpg,2026-06-21T05:09:36.550,/usb_cam/image_raw/front,1781986176.528382200,1.0,,,,,640,480,unlabeled,,,
2,images/front_20260621T050937743_000002.jpg,2026-06-21T05:09:37.743,/usb_cam/image_raw/front,1781986177.744715600,1.0,,,,,640,480,unlabeled,,,
3,images/front_20260621T050939443_000003.jpg,2026-06-21T05:09:39.443,/usb_cam/image_raw/front,1781986179.464234100,1.0,,,,,640,480,unlabeled,,,
4,images/front_20260621T050941090_000004.jpg,2026-06-21T05:09:41.090,/usb_cam/image_raw/front,1781986181.087123900,1.0,,,,,640,480,unlabeled,,,
5,images/front_20260621T050941750_000005.jpg,2026-06-21T05:09:41.750,/usb_cam/image_raw/front,1781986181.792287200,1.0,,,,,640,480,unlabeled,,,
6,images/front_20260621T050950165_000006.jpg,2026-06-21T05:09:50.165,/usb_cam/image_raw/front,1781986190.190815800,1.0,,,,,640,480,unlabeled,,,
7,images/front_20260621T050953674_000007.jpg,2026-06-21T05:09:53.674,/usb_cam/image_raw/front,1781986193.628292000,1.0,,,,,640,480,unlabeled,,,
8,images/front_20260621T050956198_000008.jpg,2026-06-21T05:09:56.198,/usb_cam/image_raw/front,1781986196.155311900,1.0,,,,,640,480,unlabeled,,,
9,images/front_20260621T050957680_000009.jpg,2026-06-21T05:09:57.680,/usb_cam/image_raw/front,1781986197.671158200,1.0,,,,,640,480,unlabeled,,,
10,images/front_20260621T050959650_000010.jpg,2026-06-21T05:09:59.650,/usb_cam/image_raw/front,1781986199.593577800,1.0,,,,,640,480,unlabeled,,,
11,images/front_20260621T051001242_000011.jpg,2026-06-21T05:10:01.242,/usb_cam/image_raw/front,1781986201.216989100,1.0,,,,,640,480,unlabeled,,,
12,images/front_20260621T051007624_000012.jpg,2026-06-21T05:10:07.624,/usb_cam/image_raw/front,1781986207.589038900,1.0,,,,,640,480,unlabeled,,,
13,images/front_20260621T051011296_000013.jpg,2026-06-21T05:10:11.296,/usb_cam/image_raw/front,1781986211.329702500,1.0,,,,,640,480,unlabeled,,,
14,images/front_20260621T051014408_000014.jpg,2026-06-21T05:10:14.408,/usb_cam/image_raw/front,1781986214.467748200,1.0,,,,,640,480,unlabeled,,,
15,images/front_20260621T051022379_000015.jpg,2026-06-21T05:10:22.379,/usb_cam/image_raw/front,1781986222.347859300,1.0,,,,,640,480,unlabeled,,,
16,images/front_20260621T051027335_000016.jpg,2026-06-21T05:10:27.335,/usb_cam/image_raw/front,1781986227.319165400,1.0,,,,,640,480,unlabeled,,,
17,images/front_20260621T051033379_000017.jpg,2026-06-21T05:10:33.379,/usb_cam/image_raw/front,1781986233.285175900,1.0,,,,,640,480,unlabeled,,,
18,images/front_20260621T051038799_000018.jpg,2026-06-21T05:10:38.799,/usb_cam/image_raw/front,1781986238.740458500,1.0,,,,,640,480,unlabeled,,,
19,images/front_20260621T051040739_000019.jpg,2026-06-21T05:10:40.739,/usb_cam/image_raw/front,1781986240.658369900,1.0,,,,,640,480,unlabeled,,,
20,images/front_20260621T051044809_000020.jpg,2026-06-21T05:10:44.809,/usb_cam/image_raw/front,1781986244.793211800,1.0,,,,,640,480,unlabeled,,,
21,images/front_20260621T051046287_000021.jpg,2026-06-21T05:10:46.287,/usb_cam/image_raw/front,1781986246.310008000,1.0,,,,,640,480,unlabeled,,,
22,images/front_20260621T051047794_000022.jpg,2026-06-21T05:10:47.794,/usb_cam/image_raw/front,1781986247.824731100,1.0,,,,,640,480,unlabeled,,,
